281, 390, 587, 731 
803, 359, 1100, 756 
1356, 340, 1659, 703
1918, 337, 2281, 687
2506, 278, 2887, 671
3150, 271, 3578, 700
242, 975, 543, 1277 
792, 956, 1133, 1336 
1329, 923, 1666, 1326
1906, 935, 2262, 1332
2508, 910, 2898, 1332
3157, 897, 3569, 1335
283, 1534, 529, 1865 
768, 1518, 1083, 1887 
1357, 1531, 1616, 1887
1918, 1556, 2233, 1906
2536, 1581, 2873, 1906
3172, 1603, 3472, 1953
245, 2098, 541, 2441 
793, 2098, 1074, 2501 
1332, 2123, 1635, 2482
1918, 2155, 2208, 2555
2526, 2205, 2864, 2571
3141, 2233, 3494, 2640
